date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2021-02-09,11055.0,387.0,564.0,89.0,348.0,265.0,26.0,3149.0,8481.0,665.0,2822.0,64.0,146.0,7632.0,10300.0,3423.0,755.0
2021-02-16,11426.0,368.0,564.0,61.0,338.0,339.0,9.0,3301.0,8750.0,660.0,3030.0,132.0,151.0,7918.0,10666.0,3508.0,760.0
2021-02-23,10572.0,332.0,464.0,62.0,314.0,551.0,0.0,2633.0,7639.0,608.0,3650.0,259.0,81.0,7680.0,9664.0,2892.0,908.0
2021-03-02,8068.0,376.0,137.0,42.0,323.0,643.0,0.0,1757.0,5563.0,572.0,2419.0,168.0,114.0,5603.0,7239.0,2465.0,829.0
2021-03-09,8785.0,395.0,164.0,41.0,331.0,619.0,15.0,2055.0,6148.0,664.0,2573.0,186.0,76.0,6150.0,7913.0,2635.0,872.0
2021-03-16,9335.0,468.0,203.0,63.0,357.0,516.0,55.0,2099.0,6756.0,842.0,2352.0,139.0,44.0,6280.0,8618.0,3055.0,717.0
2021-03-23,9897.0,502.0,132.0,181.0,358.0,463.0,120.0,2606.0,7198.0,623.0,2608.0,315.0,71.0,7069.0,9103.0,2828.0,794.0
2021-03-30,9322.0,493.0,243.0,27.0,354.0,534.0,105.0,2335.0,7144.0,420.0,2992.0,173.0,0.0,6726.0,8646.0,2596.0,676.0
2021-04-06,9865.0,501.0,264.0,31.0,355.0,519.0,115.0,2481.0,7477.0,535.0,3105.0,174.0,0.0,7123.0,9115.0,2742.0,750.0
2021-04-13,9653.0,556.0,311.0,0.0,366.0,340.0,136.0,2979.0,7634.0,363.0,2433.0,174.0,0.0,6833.0,8958.0,2820.0,695.0
